SNo,ObservationDate,Province,Country,Last_Update,Confirmed,Deaths,Recovered,Active_case
7,01/22/2020,Guangxi,China,1/22/2020 17:00,2,0,0,2.0
18,01/22/2020,Jiangxi,China,1/22/2020 17:00,2,0,0,2.0
20,01/22/2020,Liaoning,China,1/22/2020 17:00,2,0,0,2.0
25,01/22/2020,Shandong,China,1/22/2020 17:00,2,0,0,2.0
36,01/22/2020,Unknown,Japan,1/22/2020 17:00,2,0,0,2.0
37,01/22/2020,Unknown,Thailand,1/22/2020 17:00,2,0,0,2.0
43,01/23/2020,Gansu,China,1/23/20 17:00,2,0,0,2.0
49,01/23/2020,Heilongjiang,China,1/23/20 17:00,2,0,0,2.0
51,01/23/2020,Hong Kong,Hong Kong,1/23/20 17:00,2,0,0,2.0
59,01/23/2020,Macau,Macau,1/23/20 17:00,2,0,0,2.0
71,01/23/2020,Xinjiang,China,1/23/20 17:00,2,0,0,2.0
72,01/23/2020,Yunnan,China,1/23/20 17:00,2,0,0,2.0
80,01/23/2020,Unknown,Vietnam,1/23/20 17:00,2,0,0,2.0
109,01/24/2020,Ningxia,China,1/24/20 17:00,2,0,0,2.0
110,01/24/2020,Hong Kong,Hong Kong,1/24/20 17:00,2,0,0,2.0
111,01/24/2020,Macau,Macau,1/24/20 17:00,2,0,0,2.0
113,01/24/2020,Gansu,China,1/24/20 17:00,2,0,0,2.0
114,01/24/2020,Xinjiang,China,1/24/20 17:00,2,0,0,2.0
120,01/24/2020,Unknown,Japan,1/24/20 17:00,2,0,0,2.0
122,01/24/2020,Unknown,South Korea,1/24/20 17:00,2,0,0,2.0
124,01/24/2020,Unknown,Vietnam,1/24/20 17:00,2,0,0,2.0
125,01/24/2020,Unknown,France,1/24/20 17:00,2,0,0,2.0
157,01/25/2020,Macau,Macau,1/25/20 17:00,2,0,0,2.0
161,01/25/2020,Unknown,Japan,1/25/20 17:00,2,0,0,2.0
163,01/25/2020,Unknown,South Korea,1/25/20 17:00,2,0,0,2.0
165,01/25/2020,Unknown,Vietnam,1/25/20 17:00,2,0,0,2.0
205,01/26/2020,California,US,1/26/20 16:00,2,0,0,2.0
211,01/26/2020,Unknown,Vietnam,1/26/20 16:00,2,0,0,2.0
252,01/27/2020,California,US,1/27/20 23:59,2,0,0,2.0
258,01/27/2020,Unknown,Vietnam,1/27/20 23:59,2,0,0,2.0
303,01/28/2020,California,US,1/28/20 23:00,2,0,0,2.0
309,01/28/2020,Unknown,Vietnam,1/28/20 23:00,2,0,0,2.0
355,01/29/2020,California,US,1/29/20 19:30,2,0,0,2.0
361,01/29/2020,Unknown,Vietnam,1/29/20 19:30,2,0,0,2.0
410,01/30/2020,California,US,1/30/20 16:00,2,0,0,2.0
416,01/30/2020,Unknown,Vietnam,1/30/20 16:00,2,0,0,2.0
420,01/30/2020,Ontario,Canada,1/30/20 16:00,2,0,0,2.0
424,01/30/2020,New South Wales,Australia,1/30/20 16:00,4,0,2,2.0
425,01/30/2020,Victoria,Australia,1/30/20 16:00,2,0,0,2.0
473,01/31/2020,New South Wales,Australia,1/31/2020 23:59,4,0,2,2.0
476,01/31/2020,Illinois,US,1/31/2020 23:59,2,0,0,2.0
477,01/31/2020,California,US,1/31/2020 23:59,2,0,0,2.0
478,01/31/2020,Unknown,Vietnam,1/31/2020 23:59,2,0,0,2.0
479,01/31/2020,Ontario,Canada,1/31/2020 23:59,2,0,0,2.0
480,01/31/2020,Queensland,Australia,1/31/2020 23:59,2,0,0,2.0
481,01/31/2020,Unknown,Italy,1/31/2020 23:59,2,0,0,2.0
482,01/31/2020,Unknown,UK,1/31/2020 23:59,2,0,0,2.0
483,01/31/2020,Unknown,Russia,1/31/2020 23:59,2,0,0,2.0
