SNo,ObservationDate,Province,Country,Last_Update,Confirmed,Deaths,Recovered,Active_case
12,01/22/2020,Henan,China,1/22/2020 17:00,5,0,0,5.0
28,01/22/2020,Sichuan,China,1/22/2020 17:00,5,0,0,5.0
42,01/23/2020,Fujian,China,1/23/20 17:00,5,0,0,5.0
45,01/23/2020,Guangxi,China,1/23/20 17:00,5,0,0,5.0
47,01/23/2020,Hainan,China,1/23/20 17:00,5,0,0,5.0
50,01/23/2020,Henan,China,1/23/20 17:00,5,0,0,5.0
55,01/23/2020,Jiangsu,China,1/23/20 17:00,5,0,0,5.0
102,01/24/2020,Yunnan,China,1/24/20 17:00,5,0,0,5.0
103,01/24/2020,Shaanxi,China,1/24/20 17:00,5,0,0,5.0
121,01/24/2020,Unknown,Thailand,1/24/20 17:00,5,0,0,5.0
150,01/25/2020,Hong Kong,Hong Kong,1/25/20 17:00,5,0,0,5.0
196,01/26/2020,Guizhou,China,1/26/20 16:00,5,0,0,5.0
197,01/26/2020,Macau,Macau,1/26/20 16:00,5,0,0,5.0
248,01/27/2020,Taiwan,Taiwan,1/27/20 23:59,5,0,0,5.0
249,01/27/2020,Xinjiang,China,1/27/20 23:59,5,0,0,5.0
257,01/27/2020,Unknown,Singapore,1/27/20 23:59,5,0,0,5.0
362,01/29/2020,Unknown,France,1/29/20 19:30,5,0,0,5.0
417,01/30/2020,Unknown,France,1/30/20 16:00,5,0,0,5.0
471,01/31/2020,Unknown,France,1/31/2020 23:59,5,0,0,5.0
472,01/31/2020,Bavaria,Germany,1/31/2020 23:59,5,0,0,5.0
