SNo,ObservationDate,Province,Country,Last_Update,Confirmed,Deaths,Recovered,Active_case
46,01/23/2020,Guizhou,China,1/23/20 17:00,3,0,0,3.0
58,01/23/2020,Liaoning,China,1/23/20 17:00,3,0,0,3.0
62,01/23/2020,Shaanxi,China,1/23/20 17:00,3,0,0,3.0
75,01/23/2020,Unknown,Thailand,1/23/20 17:00,3,0,0,3.0
104,01/24/2020,Heilongjiang,China,1/24/20 17:00,4,1,0,3.0
106,01/24/2020,Guizhou,China,1/24/20 17:00,3,0,0,3.0
107,01/24/2020,Jilin,China,1/24/20 17:00,3,0,0,3.0
108,01/24/2020,Taiwan,Taiwan,1/24/20 17:00,3,0,0,3.0
123,01/24/2020,Unknown,Singapore,1/24/20 17:00,3,0,0,3.0
154,01/25/2020,Ningxia,China,1/25/20 17:00,3,0,0,3.0
155,01/25/2020,Taiwan,Taiwan,1/25/20 17:00,3,0,0,3.0
156,01/25/2020,Xinjiang,China,1/25/20 17:00,3,0,0,3.0
164,01/25/2020,Unknown,Singapore,1/25/20 17:00,3,0,0,3.0
166,01/25/2020,Unknown,France,1/25/20 17:00,3,0,0,3.0
169,01/25/2020,Unknown,Malaysia,1/25/20 17:00,3,0,0,3.0
207,01/26/2020,Unknown,Japan,1/26/20 16:00,4,0,1,3.0
209,01/26/2020,Unknown,South Korea,1/26/20 16:00,3,0,0,3.0
212,01/26/2020,Unknown,France,1/26/20 16:00,3,0,0,3.0
254,01/27/2020,Unknown,Japan,1/27/20 23:59,4,0,1,3.0
259,01/27/2020,Unknown,France,1/27/20 23:59,3,0,0,3.0
426,01/30/2020,Queensland,Australia,1/30/20 16:00,3,0,0,3.0
475,01/31/2020,Victoria,Australia,1/31/2020 23:59,3,0,0,3.0
