SNo,ObservationDate,Province,Country,Last_Update,Confirmed,Deaths,Recovered,Active_case
5,01/22/2020,Gansu,China,1/22/2020 17:00,0,0,0,0.0
11,01/22/2020,Heilongjiang,China,1/22/2020 17:00,0,0,0,0.0
13,01/22/2020,Hong Kong,Hong Kong,1/22/2020 17:00,0,0,0,0.0
16,01/22/2020,Inner Mongolia,China,1/22/2020 17:00,0,0,0,0.0
19,01/22/2020,Jilin,China,1/22/2020 17:00,0,0,0,0.0
23,01/22/2020,Qinghai,China,1/22/2020 17:00,0,0,0,0.0
24,01/22/2020,Shaanxi,China,1/22/2020 17:00,0,0,0,0.0
31,01/22/2020,Tibet,China,1/22/2020 17:00,0,0,0,0.0
33,01/22/2020,Xinjiang,China,1/22/2020 17:00,0,0,0,0.0
48,01/23/2020,Hebei,China,1/23/20 17:00,1,1,0,0.0
54,01/23/2020,Inner Mongolia,China,1/23/20 17:00,0,0,0,0.0
61,01/23/2020,Qinghai,China,1/23/20 17:00,0,0,0,0.0
69,01/23/2020,Tibet,China,1/23/20 17:00,0,0,0,0.0
78,01/23/2020,Unknown,Philippines,1/23/20 17:00,0,0,0,0.0
79,01/23/2020,Unknown,Malaysia,1/23/20 17:00,0,0,0,0.0
81,01/23/2020,Unknown,Australia,1/23/20 17:00,0,0,0,0.0
82,01/23/2020,Unknown,Mexico,1/23/20 17:00,0,0,0,0.0
83,01/23/2020,Unknown,Brazil,1/23/20 17:00,0,0,0,0.0
84,01/23/2020,Unknown,Colombia,1/23/20 17:00,0,0,0,0.0
117,01/24/2020,Qinghai,China,1/24/20 17:00,0,0,0,0.0
