SNo,ObservationDate,Province,Country,Last_Update,Confirmed,Deaths,Recovered,Active_case
1,01/22/2020,Anhui,China,1/22/2020 17:00,1,0,0,1.0
4,01/22/2020,Fujian,China,1/22/2020 17:00,1,0,0,1.0
8,01/22/2020,Guizhou,China,1/22/2020 17:00,1,0,0,1.0
10,01/22/2020,Hebei,China,1/22/2020 17:00,1,0,0,1.0
17,01/22/2020,Jiangsu,China,1/22/2020 17:00,1,0,0,1.0
21,01/22/2020,Macau,Macau,1/22/2020 17:00,1,0,0,1.0
22,01/22/2020,Ningxia,China,1/22/2020 17:00,1,0,0,1.0
27,01/22/2020,Shanxi,China,1/22/2020 17:00,1,0,0,1.0
29,01/22/2020,Taiwan,Taiwan,1/22/2020 17:00,1,0,0,1.0
32,01/22/2020,Washington,US,1/22/2020 17:00,1,0,0,1.0
34,01/22/2020,Yunnan,China,1/22/2020 17:00,1,0,0,1.0
38,01/22/2020,Unknown,South Korea,1/22/2020 17:00,1,0,0,1.0
57,01/23/2020,Jilin,China,1/23/20 17:00,1,0,0,1.0
60,01/23/2020,Ningxia,China,1/23/20 17:00,1,0,0,1.0
65,01/23/2020,Shanxi,China,1/23/20 17:00,1,0,0,1.0
67,01/23/2020,Taiwan,Taiwan,1/23/20 17:00,1,0,0,1.0
70,01/23/2020,Washington,US,1/23/20 17:00,1,0,0,1.0
74,01/23/2020,Unknown,Japan,1/23/20 17:00,1,0,0,1.0
76,01/23/2020,Unknown,South Korea,1/23/20 17:00,1,0,0,1.0
77,01/23/2020,Unknown,Singapore,1/23/20 17:00,1,0,0,1.0
112,01/24/2020,Hebei,China,1/24/20 17:00,2,1,0,1.0
115,01/24/2020,Shanxi,China,1/24/20 17:00,1,0,0,1.0
116,01/24/2020,Inner Mongolia,China,1/24/20 17:00,1,0,0,1.0
118,01/24/2020,Washington,US,1/24/20 17:00,1,0,0,1.0
119,01/24/2020,Chicago,US,1/24/20 17:00,1,0,0,1.0
158,01/25/2020,Qinghai,China,1/25/20 17:00,1,0,0,1.0
159,01/25/2020,Washington,US,1/25/20 17:00,1,0,0,1.0
160,01/25/2020,Illinois,US,1/25/20 17:00,1,0,0,1.0
168,01/25/2020,Unknown,Nepal,1/25/20 17:00,1,0,0,1.0
202,01/26/2020,Qinghai,China,1/26/20 16:00,1,0,0,1.0
203,01/26/2020,Washington,US,1/26/20 16:00,1,0,0,1.0
204,01/26/2020,Illinois,US,1/26/20 16:00,1,0,0,1.0
206,01/26/2020,Arizona,US,1/26/20 16:00,1,0,0,1.0
214,01/26/2020,Unknown,Nepal,1/26/20 16:00,1,0,0,1.0
216,01/26/2020,Ontario,Canada,1/26/20 16:00,1,0,0,1.0
250,01/27/2020,Washington,US,1/27/20 23:59,1,0,0,1.0
251,01/27/2020,Illinois,US,1/27/20 23:59,1,0,0,1.0
253,01/27/2020,Arizona,US,1/27/20 23:59,1,0,0,1.0
260,01/27/2020,Unknown,Nepal,1/27/20 23:59,1,0,0,1.0
262,01/27/2020,Ontario,Canada,1/27/20 23:59,1,0,0,1.0
263,01/27/2020,Unknown,Cambodia,1/27/20 23:59,1,0,0,1.0
264,01/27/2020,Unknown,Sri Lanka,1/27/20 23:59,1,0,0,1.0
265,01/27/2020,Unknown,Ivory Coast,1/27/20 23:59,1,0,0,1.0
267,01/27/2020,Victoria,Australia,1/27/20 23:59,1,0,0,1.0
301,01/28/2020,Washington,US,1/28/20 23:00,1,0,0,1.0
302,01/28/2020,Illinois,US,1/28/20 23:00,1,0,0,1.0
304,01/28/2020,Arizona,US,1/28/20 23:00,1,0,0,1.0
311,01/28/2020,Unknown,Nepal,1/28/20 23:00,1,0,0,1.0
313,01/28/2020,Ontario,Canada,1/28/20 23:00,1,0,0,1.0
314,01/28/2020,British Columbia,Canada,1/28/20 23:00,1,0,0,1.0
315,01/28/2020,Unknown,Cambodia,1/28/20 23:00,1,0,0,1.0
316,01/28/2020,Unknown,Sri Lanka,1/28/20 23:00,1,0,0,1.0
318,01/28/2020,Victoria,Australia,1/28/20 23:00,1,0,0,1.0
353,01/29/2020,Washington,US,1/29/20 19:30,1,0,0,1.0
354,01/29/2020,Illinois,US,1/29/20 19:30,1,0,0,1.0
356,01/29/2020,Arizona,US,1/29/20 19:30,1,0,0,1.0
363,01/29/2020,Unknown,Nepal,1/29/20 19:30,1,0,0,1.0
365,01/29/2020,Ontario,Canada,1/29/20 19:30,1,0,0,1.0
366,01/29/2020,British Columbia,Canada,1/29/20 19:30,1,0,0,1.0
367,01/29/2020,Unknown,Cambodia,1/29/20 19:30,1,0,0,1.0
368,01/29/2020,Unknown,Sri Lanka,1/29/20 19:30,1,0,0,1.0
370,01/29/2020,Victoria,Australia,1/29/20 19:30,1,0,0,1.0
372,01/29/2020,Unknown,Finland,1/29/20 19:30,1,0,0,1.0
407,01/30/2020,Tibet,China,1/30/20 16:00,1,0,0,1.0
408,01/30/2020,Washington,US,1/30/20 16:00,1,0,0,1.0
409,01/30/2020,Illinois,US,1/30/20 16:00,1,0,0,1.0
411,01/30/2020,Arizona,US,1/30/20 16:00,1,0,0,1.0
418,01/30/2020,Unknown,Nepal,1/30/20 16:00,1,0,0,1.0
421,01/30/2020,British Columbia,Canada,1/30/20 16:00,1,0,0,1.0
422,01/30/2020,Unknown,Cambodia,1/30/20 16:00,1,0,0,1.0
423,01/30/2020,Unknown,Sri Lanka,1/30/20 16:00,1,0,0,1.0
428,01/30/2020,Unknown,Finland,1/30/20 16:00,1,0,0,1.0
430,01/30/2020,Unknown,Philippines,1/30/20 16:00,1,0,0,1.0
431,01/30/2020,Unknown,India,1/30/20 16:00,1,0,0,1.0
465,01/31/2020,Tibet,China,1/31/2020 23:59,1,0,0,1.0
484,01/31/2020,Washington,US,1/31/2020 23:59,1,0,0,1.0
485,01/31/2020,Arizona,US,1/31/2020 23:59,1,0,0,1.0
486,01/31/2020,Unknown,Nepal,1/31/2020 23:59,1,0,0,1.0
487,01/31/2020,British Columbia,Canada,1/31/2020 23:59,1,0,0,1.0
488,01/31/2020,Unknown,Cambodia,1/31/2020 23:59,1,0,0,1.0
489,01/31/2020,Unknown,Sri Lanka,1/31/2020 23:59,1,0,0,1.0
490,01/31/2020,Unknown,Finland,1/31/2020 23:59,1,0,0,1.0
491,01/31/2020,Unknown,Philippines,1/31/2020 23:59,1,0,0,1.0
492,01/31/2020,Unknown,India,1/31/2020 23:59,1,0,0,1.0
493,01/31/2020,Unknown,Sweden,1/31/2020 23:59,1,0,0,1.0
